task,BMPC,DreamerV3,EZ2,Ours,SAC,SimbaV2,TDMPC2
acrobot-swingup,204 ± 55,101 ± 22,308 ± 61,408 ± nan,8 ± 11,103 ± 57,179 ± 85
cartpole-balance,943 ± 89,913 ± 63,940 ± 6,997 ± nan,999 ± 1,1000 ± 0,998 ± 1
cartpole-balance-sparse,996 ± 7,971 ± 28,998 ± 3,1000 ± nan,808 ± 332,696 ± 420,1000 ± 0
cartpole-swingup,770 ± 62,677 ± 41,797 ± nan,881 ± nan,835 ± 10,880 ± 3,839 ± 43
cartpole-swingup-sparse,270 ± 330,315 ± 191,663 ± 159,789 ± nan,0 ± 1,558 ± 319,0 ± 1
cheetah-run,506 ± 81,336 ± 63,659 ± 23,888 ± nan,310 ± 65,602 ± 88,519 ± 84
cup-catch,939 ± 79,870 ± 122,—,969 ± nan,958 ± 11,—,981 ± 7
finger-spin,944 ± 29,328 ± 59,753 ± 63,953 ± nan,762 ± 17,745 ± 170,948 ± 34
finger-turn-easy,559 ± 181,228 ± 120,284 ± nan,987 ± nan,386 ± 178,662 ± 145,488 ± 7
finger-turn-hard,215 ± 150,190 ± 93,240 ± 77,969 ± nan,62 ± 46,533 ± 192,484 ± 97
hopper-hop,58 ± 63,10 ± 17,152 ± 106,374 ± nan,0 ± 0,176 ± 112,14 ± 13
hopper-stand,213 ± 99,150 ± 212,833 ± 17,752 ± nan,2 ± 1,507 ± 377,28 ± 35
pendulum-swingup,795 ± 26,699 ± 210,828 ± nan,760 ± nan,96 ± 94,826 ± 25,724 ± 147
quadruped-run,232 ± 31,126 ± 44,502 ± 16,805 ± nan,51 ± 15,813 ± 90,239 ± 134
quadruped-walk,343 ± 84,46 ± 28,874 ± 17,940 ± nan,55 ± 34,906 ± 43,487 ± 312
reacher-easy,794 ± 79,872 ± 46,927 ± nan,918 ± nan,540 ± 410,937 ± 54,937 ± 67
reacher-hard,649 ± 282,813 ± 47,760 ± 132,986 ± nan,161 ± 188,890 ± 81,414 ± 137
walker-run,751 ± 8,245 ± 19,614 ± 70,850 ± nan,340 ± 39,693 ± 18,723 ± 34
walker-stand,976 ± 8,885 ± 50,965 ± 22,988 ± nan,341 ± 115,943 ± 36,981 ± 3
walker-walk,962 ± 9,630 ± 53,965 ± 15,971 ± nan,708 ± 204,959 ± 11,962 ± 13
